"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/06/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/07/2023","AQS","060290007","1","0.028","ppm","26","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/08/2023","AQS","060290007","1","0.032","ppm","30","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/09/2023","AQS","060290007","1","0.033","ppm","31","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/10/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/11/2023","AQS","060290007","1","0.035","ppm","32","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/12/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/13/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/14/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/15/2023","AQS","060290007","1","0.036","ppm","33","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/16/2023","AQS","060290007","1","0.038","ppm","35","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/17/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/18/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/19/2023","AQS","060290007","1","0.045","ppm","42","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/20/2023","AQS","060290007","1","0.049","ppm","45","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/21/2023","AQS","060290007","1","0.047","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/22/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/23/2023","AQS","060290007","1","0.041","ppm","38","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/24/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/25/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/26/2023","AQS","060290007","1","0.043","ppm","40","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/27/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"02/28/2023","AQS","060290007","1","0.042","ppm","39","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/01/2023","AQS","060290007","1","0.041","ppm","38","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/02/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/03/2023","AQS","060290007","1","0.046","ppm","43","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/04/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/05/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/06/2023","AQS","060290007","1","0.048","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/07/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/08/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/09/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/10/2023","AQS","060290007","1","0.023","ppm","21","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/11/2023","AQS","060290007","1","0.031","ppm","29","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/12/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/13/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/14/2023","AQS","060290007","1","0.022","ppm","20","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/15/2023","AQS","060290007","1","0.029","ppm","27","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/16/2023","AQS","060290007","1","0.035","ppm","32","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/17/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/18/2023","AQS","060290007","1","0.047","ppm","44","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/19/2023","AQS","060290007","1","0.045","ppm","42","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/20/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/21/2023","AQS","060290007","1","0.044","ppm","41","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/22/2023","AQS","060290007","1","0.046","ppm","43","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/23/2023","AQS","060290007","1","0.034","ppm","31","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/24/2023","AQS","060290007","1","0.046","ppm","43","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/25/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"03/26/2023","AQS","060290007","1","0.043","ppm","40","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
